name;frameTime;pcm_fftMag_mfcc[0];pcm_fftMag_mfcc[1];pcm_fftMag_mfcc[2];pcm_fftMag_mfcc[3];pcm_fftMag_mfcc[4];pcm_fftMag_mfcc[5];pcm_fftMag_mfcc[6];pcm_fftMag_mfcc[7];pcm_fftMag_mfcc[8];pcm_fftMag_mfcc[9];pcm_fftMag_mfcc[10];pcm_fftMag_mfcc[11];pcm_fftMag_mfcc[12];pcm_fftMag_mfcc_de[0];pcm_fftMag_mfcc_de[1];pcm_fftMag_mfcc_de[2];pcm_fftMag_mfcc_de[3];pcm_fftMag_mfcc_de[4];pcm_fftMag_mfcc_de[5];pcm_fftMag_mfcc_de[6];pcm_fftMag_mfcc_de[7];pcm_fftMag_mfcc_de[8];pcm_fftMag_mfcc_de[9];pcm_fftMag_mfcc_de[10];pcm_fftMag_mfcc_de[11];pcm_fftMag_mfcc_de[12];pcm_fftMag_mfcc_de_de[0];pcm_fftMag_mfcc_de_de[1];pcm_fftMag_mfcc_de_de[2];pcm_fftMag_mfcc_de_de[3];pcm_fftMag_mfcc_de_de[4];pcm_fftMag_mfcc_de_de[5];pcm_fftMag_mfcc_de_de[6];pcm_fftMag_mfcc_de_de[7];pcm_fftMag_mfcc_de_de[8];pcm_fftMag_mfcc_de_de[9];pcm_fftMag_mfcc_de_de[10];pcm_fftMag_mfcc_de_de[11];pcm_fftMag_mfcc_de_de[12]
'unknown';0.000000;-2.926828e+00;-1.614541e+01;-5.988779e+00;-1.667715e+01;-1.179497e+01;6.123297e+00;1.964483e+01;1.885014e+01;1.615079e+01;8.680414e-01;-2.418222e+01;-1.103790e+01;1.036497e+02;5.941834e-02;-1.986171e+00;-6.757073e-01;-2.813144e+00;9.006740e-01;-9.891768e-01;-2.665685e+00;4.085188e+00;1.450074e+00;5.052418e-01;-7.812241e-01;1.923704e-01;1.530987e+00;7.876648e-02;-2.607201e-01;-4.615010e-01;1.313638e-01;-2.836800e-01;-3.806079e-01;2.040799e-01;-5.510453e-01;-2.861770e-01;2.187064e-01;2.416428e-02;-6.891166e-01;7.646704e-03
'unknown';0.010000;-3.222480e+00;-2.082109e+01;-5.601571e+00;-2.316107e+01;-9.131763e+00;4.075718e-01;9.273416e+00;2.654900e+01;1.848257e+01;2.156977e+00;-3.103386e+01;-6.171226e+00;1.094348e+02;3.864254e-01;-2.544638e+00;-1.551105e+00;-2.240493e+00;4.021679e-01;-1.627298e+00;-1.991440e+00;3.233505e+00;7.599064e-01;-5.674058e-01;-1.104090e+00;-1.708003e+00;1.766804e+00;-2.648634e-02;-1.781624e-01;-4.522586e-01;7.545546e-01;-6.810440e-01;-7.049816e-01;2.374554e-01;-1.122967e+00;-6.002477e-01;4.500116e-01;4.032863e-01;-7.561690e-01;-2.258229e-01
'unknown';0.020000;-2.481910e+00;-2.373843e+01;-9.560920e+00;-2.750092e+01;-8.623210e+00;4.035276e+00;1.150212e+01;3.542666e+01;2.223527e+01;2.749783e+00;-2.466252e+01;-1.250939e+01;1.084121e+02;2.897472e-01;-3.010537e+00;-2.545513e+00;-2.442651e+00;-2.684727e-01;-2.573156e+00;-1.982408e+00;1.755803e+00;3.642736e-01;2.135098e+00;-4.989695e-01;-2.303025e+00;1.451311e+00;-1.856489e-01;3.200254e-01;1.467078e-01;1.114718e+00;-4.648481e-01;-7.482146e-01;-1.935960e-01;-1.352214e+00;-1.465608e+00;3.292345e-01;1.036417e+00;-1.178312e-01;-3.753680e-01
'unknown';0.030000;-1.217159e+00;-2.507210e+01;-1.195823e+01;-2.246774e+01;-1.137002e+01;-9.691829e-01;1.375899e+01;2.672941e+01;1.690808e+01;-2.909858e+00;-2.946252e+01;-1.884218e+01;1.101025e+02;-1.881778e-01;-2.364799e+00;-2.002097e+00;7.743822e-01;-1.919972e+00;-3.722095e+00;-1.820046e+00;-3.649551e-01;-1.008264e+00;1.940372e+00;1.094080e+00;-2.340776e+00;4.417099e-01;-3.243513e-01;6.559137e-01;7.423870e-01;9.224325e-01;5.616461e-01;-4.789250e-02;-3.084641e-01;-3.494161e-01;-2.200536e+00;-7.477850e-01;7.265921e-01;5.397557e-01;-4.215211e-01
'unknown';0.040000;-2.480752e+00;-2.907259e+01;-1.553801e+01;-2.923708e+01;-1.201821e+01;-6.054103e+00;7.490007e+00;2.753895e+01;1.875940e+01;1.407695e+01;-2.746273e+01;-1.621756e+01;1.105724e+02;-5.815247e-01;-4.759630e-01;2.833280e-01;1.253010e+00;-2.624965e-01;-3.682851e+00;-3.719362e+00;-8.766497e-01;-4.993883e+00;8.975255e-01;3.301777e+00;-8.039894e-02;3.166939e-01;-3.523401e-01;9.041239e-01;1.078880e+00;6.070134e-01;1.172695e+00;6.454580e-01;2.850561e-02;5.191285e-01;-2.593374e+00;-2.817252e+00;-3.856930e-01;9.071013e-01;-2.132170e-01
'unknown';0.050000;-4.163948e+00;-2.997800e+01;-1.262351e+01;-1.842108e+01;-1.703412e+01;-1.315822e+01;2.179240e+00;2.866807e+01;1.517919e+01;6.195255e+00;-2.416335e+01;-1.602102e+01;1.105632e+02;-7.996949e-01;-5.323570e-01;7.464095e-01;5.238396e-01;3.207410e+00;-1.311913e+00;-2.665283e+00;2.802651e+00;-7.563698e+00;-3.687545e+00;6.284968e-01;-1.205380e-01;2.265076e-01;-1.598039e-01;6.981000e-01;6.898754e-01;-4.095858e-01;1.091965e+00;1.253116e+00;9.369685e-01;7.084925e-01;-2.025769e+00;-2.835119e+00;-9.517391e-01;1.093316e+00;6.539078e-02
'unknown';0.060000;-3.916140e+00;-2.366529e+01;-7.811641e+00;-2.325920e+01;-7.103639e+00;-8.284462e+00;-1.304813e+00;3.007408e+01;-1.869697e+00;2.684854e+00;-1.080322e+01;-1.432196e+01;1.097652e+02;-1.166195e+00;5.938612e-01;1.474633e+00;7.176874e-01;3.031311e+00;-5.509568e-01;-1.417261e+00;2.767642e+00;-9.324880e+00;-9.137204e+00;-2.194643e+00;1.122362e+00;4.928276e-01;-2.017413e-02;2.441297e-01;5.909934e-02;-1.003736e-01;-5.231817e-01;9.341189e-01;1.721894e+00;-3.141322e-01;-1.555021e-01;-9.350826e-01;-1.659621e-01;1.346496e+00;2.740097e-02
'unknown';0.070000;-4.497940e+00;-3.043753e+01;-1.208937e+01;-2.283748e+01;2.209747e+00;-6.413568e+00;4.829988e+00;3.947511e+01;-1.059586e+01;-1.565154e+01;-3.464979e+01;-2.039266e+01;1.116387e+02;-6.948624e-01;5.907888e-01;8.516273e-01;-1.005885e+00;1.892948e+00;9.775397e-01;1.713746e+00;1.355361e+00;-8.971608e+00;-7.217857e+00;-9.164059e-01;2.524422e+00;6.805969e-01;1.820959e-01;1.390748e-01;-2.236144e-01;4.009689e-01;-2.093102e+00;5.203763e-01;1.784353e+00;-1.763929e+00;2.223698e+00;2.488077e+00;1.928519e+00;1.891722e+00;-1.729012e-01
'unknown';0.080000;-8.144730e+00;-2.587352e+01;-8.431921e+00;-2.344044e+01;-6.483592e+00;-1.218121e+01;-9.216734e-01;3.597365e+01;-1.497747e+01;-2.068568e+01;-3.319272e+01;-8.419929e+00;1.124988e+02;-7.348117e-01;1.831129e-01;5.262157e-01;1.516004e+00;-2.221174e+00;-1.569827e-01;2.700592e+00;-1.723665e+00;-5.067438e+00;-2.012731e+00;3.244418e+00;5.329599e+00;2.266541e-01;4.305855e-01;-6.419262e-02;-3.586277e-01;6.194378e-01;-1.636658e+00;6.308710e-01;1.981251e+00;-1.676250e+00;3.835307e+00;3.921134e+00;2.147527e+00;9.639856e-01;-3.323488e-01
'unknown';0.090000;-5.523964e+00;-2.591994e+01;-8.055234e+00;-2.335989e+01;-7.879407e+00;-6.322143e+00;1.055640e+01;3.249509e+01;-2.312497e+01;-1.820877e+01;-1.755062e+01;-6.349932e+00;1.125994e+02;-1.049068e-01;3.683909e-01;1.025460e-01;2.129526e+00;-4.631859e+00;1.092982e+00;4.197556e+00;-3.771339e+00;1.426070e+00;5.190603e+00;7.551559e+00;7.234454e+00;-5.049118e-01;3.917040e-01;2.228401e-01;-1.690786e-01;5.504316e-01;-3.056881e-01;1.989223e-01;9.038227e-01;-1.528233e+00;3.444157e+00;1.853132e+00;-5.333855e-01;-5.871096e-01;-2.672195e-01
